team_code,pitch_count,school_name
DYE_EAG,772,
GRA_CHR,772,
MIS_UNI,772,
VOL_STA2,768,
THO_UNI,765,
17U_CHA19,764,
UNI_THE2,762,
CIS_WRA,756,
16U_CHA26,746,
CAR_ALB,746,
BRI_EAG,744,
PEN_STA,738,
GAT_COM,735,
COM_COL,724,
MIL_UNI3,722,
GAN_UNI,719,
BEN_FAL1,718,
15U_CHA33,716,
JOH_CAR2,713,
DOM_UNI2,707,
PIE_BUL,705,
WAY_STA,699,
SOU_UNI1,695,
ANO_COM,686,
COA_ALA3,680,
WAB_COL,675,
SPO_COL,670,
OCC_T,664,
ROC_CHR,654,
MOT_COM,652,
LAK_LAN,645,
LSU_FAL,642,
HAM_COL,640,
LOS_ANG,640,
MOO_COL,639,
CHA_COL,637,
LOU_STA,636,
REN_POL,636,
ROA_COL,635,
CHA_GIL,625,
SUS_UNI,625,
ROO_UNI,622,
MID_CCC,621,
HAM_COL2,619,
NOR_PAR,614,
MIN_WES,613,
DES_UNI,612,
NOR_IOW2,612,
WHI_COL1,612,
UMW_EAG,611,
WHE_COL,609,
TAC_TAC,607,
MT._HOO,606,
SOU_SUB,604,
RIC_COL,603,
MSA_M,602,
AVE_UNI,601,
ROG_WIL,600,
XAV_LOU,597,
BOS_PAR1,595,
OXN_COL,591,
VIR_STA1,591,
FLO_SOU1,589,
ROL_ROL,589,
CEN_COL4,588,
CMU_MAV,587,
BUT_BUT1,586,
BUE_VIS,584,
PEL_STA,584,
NIC_COL1,582,
LOS_ANG1,581,
UW-_TIT,572,
GLE_COM1,570,
KIN_COL,569,
ICC_COU,566,
202_ORE,564,
202_ORE1,564,
BAK_COL,564,
JEF_UNI,559,
GAR_CIT,557,
SWI_BSM,555,
VEN_COL,554,
BAK_WIL,553,
PHI,550,
COF_COF,547,
LSU_ALE,545,
DEL_VAL,544,
INL_VAL,544,
MCH_COU2,537,
RAN_MAC,537,
KEN_STA1,536,
202_APP,533,
OKO_DAW,533,
PEN_HAR,532,
CAL_STA6,528,
GAD_STA,526,
GRA_COL,525,
COL_COL14,524,
SHE_STA,523,
OLY_COL,520,
CAL_TEC,518,
DAL_COM,512,
SUF_UNI,508,
DAN_ARE1,505,
HIL_COL3,501,
EAS_MIS,500,
PIM_COM,497,
202_HAI,496,
ALL_ALL5,495,
COL_COL12,491,
CLA_COL,482,
SIM_UNI,481,
SOU_BAP1,480,
EAC,478,
MOU_MER,477,
DEL_COM,467,
RIC_BLA,458,
UNI_WIS,454,
202_HAI2,453,
202_HAI5,453,
CLE_SCC,451,
CER_COL,442,
CAL_UNI,434,
VER_CHA,432,
UTA_STA,427,
BEN_UNI,417,
ELM_UNI,412,
NMX_THU,412,
LUN_COM,409,
ST._MAR2,402,
WHI_COL,400,
MLB_BRE8,397,
PAL_COM,397,
BER_HON,396,
SOU_IOW2,369,
WAS_UNI,369,
CAM_COL,368,
BAS_UNI,367,
MER_COL2,364,
WALL_DOT,360,
GRE_KNI,359,
QUE_CIT1,356,
USC_LAN,350,
END_COL,349,
OBE_COL,348,
OLN_CEN,346,
HEN_RED,343,
WOR_POL,342,
JOH_WOO,341,
IND_UNI1,340,
TAL_COL,340,
BAL_UNI,339,
KAN_C,339,
ALL_COU2,336,
MAR_BAS5,335,
STE_MUS,335,
TRA_HIG,335,
WIL_UNI1,334,
202_CPL4,331,
202_CPL5,331,
DUB_FIS,331,
RUS_SAG,331,
WIL_QUA,331,
BEAR,330,
CHI_STA,327,
LAM_COM,327,
LAN_COL,327,
PEN_BW,325,
CAR_COL,324,
GLE_STA,324,
INL_VAL1,324,
SOU_BAY1,324,
BIS_STA,320,
AUR_UNI,319,
TEX_A&M2,318,
UNI_BRI1,318,
WAS_EDA,318,
YOR_TIG,318,
LOS_ANG3,317,
RED_D,317,
TRA_RED,317,
MOU_ALO,316,
MER_COL,313,
GET_COL,312,
LAN_BIB,312,
NOV_KNI,312,
SPR_HIL1,312,
SAN_DIE22,311,
17U_CHA21,310,
17U_CHA22,310,
KAL_COL,310,
ALV_GOL,309,
CCU_BLD,308,
JOH_AND,307,
SAN_DIE23,307,
ARK_WEE,306,
CAL_STA7,306,
VER_STA,306,
WES_VIR7,305,
SPR_SPR1,304,
GRE_F,300,
POO_SEE,300,
202_WCL2,299,
202_WCL3,299,
BRE_LAN1,299,
VIN_UNI,299,
DOM_UNI,296,
EAS_MEN,296,
DEN_UNI,293,
UNI_COM,293,
LEX_COU,292,
MSU_DEN,292,
EMB_EAG,291,
HUS_TIL,291,
CAL_COM,289,
MAR_BAL,289,
SHA_COM,288,
NOR_UNI1,287,
TEN_SOU,286,
MAV_BAS,284,
YAN_YAN,283,
BUR_S,280,
FUL_HOR,280,
WES_WES6,280,
MID_UNI,278,
SNE_STA,278,
CIT_OWL,275,
WAS_GEN,272,
FRO_STA,271,
JOL_JUN,271,
MT._SAN,270,
POI_PAR,270,
RLC_WRS,270,
DAL_COL4,269,
REI_STA,269,
NOR_(NE,268,
EAS_LOS,267,
NUN_PEL,265,
SMU_SAI,265,
SCC_C,264,
WAR_COL,264,
BRE_TOR,263,
LOU_STA1,263,
SOU_SUB3,261,
SOU_ILL,259,
VER_STA1,259,
BAU_BAT,258,
WES_VIR4,258,
ALL_COU1,254,
15U_CHA21,253,
15U_CHA22,253,
202_HAI4,251,
